"","Time.S","Plate","Size"
"190",37644.5,"A3",495048
"191",38481,"A3",492546
"192",39317.5,"A3",495293
"193",40154,"A3",497397
"194",40990.4,"A3",495804
"195",41826.9,"A3",494375
"196",42663.4,"A3",500483
"197",43499.9,"A3",503130
"198",44336.4,"A3",508045
"199",45172.8,"A3",509206
"200",46009.3,"A3",512430
"201",46845.8,"A3",516432
"202",47682.3,"A3",518916
"203",48518.8,"A3",518598
"204",49355.2,"A3",518850
"205",50191.7,"A3",521170
"206",51028.2,"A3",520483
"207",51864.7,"A3",519758
"208",52701.2,"A3",518987
"209",53537.6,"A3",520382
"210",54374.1,"A3",521343
"211",55210.6,"A3",520779
"212",56047.1,"A3",524119
"213",56883.5,"A3",522855
"214",57720,"A3",523632
"215",58556.5,"A3",527692
"216",59393,"A3",529263
"217",0,"A4",27134
"218",836.5,"A4",29972
"219",1673,"A4",34322
"220",2512.5,"A4",39362
"221",3349,"A4",46009
"222",4185.5,"A4",53946
"223",5022,"A4",63550
"224",5858.5,"A4",75307
"225",6694.9,"A4",89838
"226",7531.4,"A4",108645
"227",8367.9,"A4",129911
"228",9204.4,"A4",154678
"229",10040.8,"A4",183001
"230",10877.3,"A4",213780
"231",11713.8,"A4",244185
"232",12550.3,"A4",269201
"233",13386.7,"A4",296546
"234",14223.2,"A4",318638
"235",15059.7,"A4",337811
"236",15896.2,"A4",353594
"237",16732.6,"A4",375291
"238",17569.1,"A4",385505
"239",18405.6,"A4",399574
"240",19242.1,"A4",408578
"241",20078.5,"A4",418675
"242",20915,"A4",430079
"243",21751.5,"A4",433653
"244",22588,"A4",444401
"245",23424.5,"A4",450937
"246",24260.9,"A4",460122
"247",25097.4,"A4",462961
"248",25933.9,"A4",471997
"249",26770.4,"A4",477130
"250",27606.8,"A4",482481
"251",28443.3,"A4",486048
"252",29279.8,"A4",491996
"253",30116.3,"A4",498130
"254",30952.8,"A4",499184
"255",31789.2,"A4",508533
"256",32625.7,"A4",509437
"257",33462.2,"A4",516162
"258",34298.6,"A4",518623
"259",35135.1,"A4",522050
"260",35971.6,"A4",523884
"261",36808.1,"A4",521444
"262",37644.5,"A4",524524
"263",38481,"A4",529757
"264",39317.5,"A4",526504
"265",40154,"A4",527080
"266",40990.4,"A4",528269
"267",41826.9,"A4",525752
"268",42663.4,"A4",532899
"269",43499.9,"A4",533283
"270",44336.4,"A4",538085
"271",45172.8,"A4",539734
"272",46009.3,"A4",544285
"273",46845.8,"A4",548028
"274",47682.3,"A4",550610
"275",48518.8,"A4",552361
"276",49355.2,"A4",550856
"277",50191.7,"A4",552052
"278",51028.2,"A4",552337
"279",51864.7,"A4",552104
"280",52701.2,"A4",555195
"281",53537.6,"A4",552089
"282",54374.1,"A4",552903
"283",55210.6,"A4",551774
"284",56047.1,"A4",557383
"285",56883.5,"A4",556430
"286",57720,"A4",555267
"287",58556.5,"A4",561529
"288",59393,"A4",559530
"865",0,"B1",23949
"866",836.5,"B1",26355
"867",1673,"B1",29762
"868",2512.5,"B1",33793
"869",3349,"B1",39565
"870",4185.5,"B1",45793
"871",5022,"B1",53724
"872",5858.5,"B1",63382
"873",6694.9,"B1",75925
"874",7531.4,"B1",90824
"875",8367.9,"B1",109993
"876",9204.4,"B1",133932
"877",10040.8,"B1",159857
"878",10877.3,"B1",189185
"879",11713.8,"B1",217713
"880",12550.3,"B1",245877
"881",13386.7,"B1",273909
"882",14223.2,"B1",296804
"883",15059.7,"B1",317257
"884",15896.2,"B1",333341
"885",16732.6,"B1",359920
"886",17569.1,"B1",367966
"887",18405.6,"B1",381493
"888",19242.1,"B1",388650
"889",20078.5,"B1",401725
"890",20915,"B1",409093
"891",21751.5,"B1",417328
"892",22588,"B1",425731
"893",23424.5,"B1",431373
"894",24260.9,"B1",435558
"895",25097.4,"B1",439794
"896",25933.9,"B1",446968
"897",26770.4,"B1",450590
"898",27606.8,"B1",460927
"899",28443.3,"B1",458273
"900",29279.8,"B1",462306
"901",30116.3,"B1",471243
"902",30952.8,"B1",470537
"903",31789.2,"B1",473978
"904",32625.7,"B1",475627
"905",33462.2,"B1",481383
"906",34298.6,"B1",482242
"907",35135.1,"B1",486747
"908",35971.6,"B1",484402
"909",36808.1,"B1",484024
"910",37644.5,"B1",485814
"911",38481,"B1",484040
"912",39317.5,"B1",482803
"913",40154,"B1",486234
"914",40990.4,"B1",486875
"915",41826.9,"B1",486045
"916",42663.4,"B1",488143
"917",43499.9,"B1",491021
"918",44336.4,"B1",495750
"919",45172.8,"B1",496730
"920",46009.3,"B1",501925
"921",46845.8,"B1",504976
"922",47682.3,"B1",505507
"923",48518.8,"B1",503772
"924",49355.2,"B1",505242
"925",50191.7,"B1",507217
"926",51028.2,"B1",508388
"927",51864.7,"B1",504770
"928",52701.2,"B1",506121
"929",53537.6,"B1",506827
"930",54374.1,"B1",505714
"931",55210.6,"B1",505088
"932",56047.1,"B1",506792
"933",56883.5,"B1",505442
"934",57720,"B1",509134
"935",58556.5,"B1",511092
"936",59393,"B1",507444
"1009",0,"B3",25218
"1010",836.5,"B3",27582
"1011",1673,"B3",30730
"1012",2512.5,"B3",34742
"1013",3349,"B3",40367
"1014",4185.5,"B3",46506
"1015",5022,"B3",53808
"1016",5858.5,"B3",63382
"1017",6694.9,"B3",74670
"1018",7531.4,"B3",88287
"1019",8367.9,"B3",105776
"1020",9204.4,"B3",126295
"1021",10040.8,"B3",150701
"1022",10877.3,"B3",177115
"1023",11713.8,"B3",206378
"1024",12550.3,"B3",234585
"1025",13386.7,"B3",260642
"1026",14223.2,"B3",284431
"1027",15059.7,"B3",303834
"1028",15896.2,"B3",321659
"1029",16732.6,"B3",343191
"1030",17569.1,"B3",354094
"1031",18405.6,"B3",365409
"1032",19242.1,"B3",375379
"1033",20078.5,"B3",386548
"1034",20915,"B3",393418
